state,business_id,latitude,name,postal_code,longitude,num_nearby_rest
AZ,-YR7K3rw6VAQ1-MjslvsoQ,Eastwind Sushi & Grill,85032.0,33.6108205645,-111.977496973,14
AZ,-ouvCdkuZJgHixwyAhB8Nw,Pete's Fish & Chips,85040.0,33.4108083,-112.0736201,7
AZ,MUL6OwocXH5LLU3qcJyTvA,Wok N Roll,85143.0,33.1372767,-111.5391948,2
AZ,kWkW6vVePpBox_fKfGgPjQ,Pan Asia Sushi Chinese Fusion,85042.0,33.3771138,-112.0278885,27
AZ,DF6kMTHYuKKME_00AinR-w,Even Stevens Sandwiches,85281.0,33.4174665,-111.925889,122
AZ,nJNukcrwL5CmCXviiJvcBw,Jimbo's Good Times Grill,85205.0,33.4157036,-111.6995673,10
AZ,I_a74zmgR-X03LsKISWPcg,Snoh Ice Shavery,85014.0,33.5095292,-112.0609579,31
AZ,PgW75NwQUJ1wNOapwZ1bnw,La Victoria Mexican Grill,85225.0,33.305807,-111.828714,5
AZ,JMQDqoJHyCCguklrhPQEPw,Xaviers Casa Reynoso,85206.0,33.39434,-111.721003,13
AZ,pYZnKIv0z-UxrpgBjp_z1w,Kokobelli Bagel Cafe,85206.0,33.394607,-111.683508,40
AZ,X6YpIqhaP_qoSZJRBcivGw,Garcia's Las Avenidas,85009.0,33.4716577,-112.1348584,11
AZ,9uhQx8mHK-C1h-cPoDnStA,Einstein Bros Bagels,85281.0,33.4180432505,-111.934237427,195
AZ,7Q6pUSru5DYRwYo5U3Xjxw,Athen's Gyros & Pasta,85021.0,33.55312,-112.1091777,37
AZ,hw1g0S9HtNKSH4dJl8-oPw,U-Like World Buffet,85204.0,33.3905956,-111.7876826,16
AZ,vDEf2V-bvRLtwAh2nfkebQ,Picazzo's Gourmet Pizza,85395.0,33.492737,-112.380047,3
AZ,QK9Sy16uWUqEwTPdoKSiEA,Black Bear Diner,85233.0,33.3784717639,-111.791295232,29
AZ,bFdXX34Ql59hmeuApRBmLg,Burger King,85085.0,33.7998129,-112.0663198,6
AZ,qfr7bHu1-VXUTQWXoSMf9g,The Play Factory,85050.0,33.6790861,-111.9767717,51
AZ,NM46GnLtWWocCu2o1iCuSA,Carniceria Los Amigos,85042.0,33.3927355,-111.9805425,13
AZ,XF4w6wG1JOvfKZlQcxiWgQ,1000 Degrees Neapolitan Pizzeria,85054.0,33.6562195413,-111.929300018,33
AZ,PaYHG4FkH4-tUX_wfYEbcg,Zoës Kitchen,85251.0,33.5009342365,-111.928487185,283
AZ,ExLXL_oQvI7oPB7TrVpGhg,Pieology,85392.0,33.464148,-112.2731978,39
AZ,pnYsk9eW1FMxqWQWLdDZeA,Mardenelys Ristorante,85201.0,33.4349623,-111.8261082,9
AZ,kDkHOrLyYfzvIeus7GMr-g,La Reyna Del Hot Dog,85302.0,33.5668574215,-112.187355286,10
AZ,NikjKN4c0oOJwbjW158xBQ,Huauchinango Mexican Grill,85257.0,33.45168,-111.916537,16
AZ,9oJhLKDwfGOI2TAVyQCO8A,Two Hippies Beach House,85251.0,33.4819226,-111.9261289,58
AZ,uxSL4FHWiO-fr2iae_d3Bw,P.F. Chang's,85395.0,33.4638416136,-112.3747967,1
AZ,jca2NWkvTI3cuqT6P486Hg,Dillon's KC BBQ,85340.0,33.550211,-112.410581,1
AZ,4p6Wce7Ed707QS2-yQkvZw,Kitchen 56,85018.0,33.4885902682,-111.960350202,8
AZ,EhSXU5-sUR7QRZt11PHl0w,Ribshack BBQ,85250.0,33.5238793,-111.8985376,10
AZ,HwDU5q6Q5Wm2iF5p7Xx-Og,What A Sub,85009.0,33.4655499,-112.1139277,4
